Organization Country,Organization Name,Reference,Reference Link,Reference Wikipedia,Organization Type,Organization Link,Organization Wikipedia,Notes
CA,Victoria Transport Policy Institute,"Transportation Cost and Benefit Analysis Techniques, Estimates and Implications",http://vtpi.org/tca/,,Independent,http://vtpi.org/,,
CH,INFRAS,Handbook Emission Factors for Road Transport,http://www.hbefa.net/,https://en.wikipedia.org/wiki/Handbook_Emission_Factors_for_Road_Transport_(HBEFA),Independent,,,
DE,Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH,How to plan and develop a pedestrian and cycling network,http://www.sutp.org/files/contents/documents/resources/J_Others/GIZ_SUTP_NMT-Pedestrian-cycling-network-Windhoek_2016.pdf,,Government,https://www.giz.de,https://en.wikipedia.org/wiki/Deutsche_Gesellschaft_für_Internationale_Zusammenarbeit,
DE,Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH,Public Transport Improvement,http://www.slideshare.net/ICLEI_Media/public-transport-improvement,,Government,https://www.giz.de,https://en.wikipedia.org/wiki/Deutsche_Gesellschaft_für_Internationale_Zusammenarbeit,
DE,Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH,Sustainable Urban Transport Project,http://www.sutp.org/en/,,Government,https://www.giz.de,https://en.wikipedia.org/wiki/Deutsche_Gesellschaft_für_Internationale_Zusammenarbeit,
DE,Forschungsgesellschaft für Straßen- und Verkehrswesen (FGSV), Richtlinien für die Anlage von Autobahnen (RAA),,https://de.wikipedia.org/wiki/Richtlinien_für_die_Anlage_von_Autobahnen,Independent,,https://de.wikipedia.org/wiki/Forschungsgesellschaft_für_Straßen-_und_Verkehrswesen,Directives for the Design and Alignment of Highways
DE,Forschungsgesellschaft für Straßen- und Verkehrswesen (FGSV), Richtlinien für die Anlage von Stadtstraßen (RASt),,https://de.wikipedia.org/wiki/Richtlinien_für_die_Anlage_von_Stadtstraßen,Independent,,https://de.wikipedia.org/wiki/Forschungsgesellschaft_für_Straßen-_und_Verkehrswesen,Directives for the Design of Urban Roads
DE,Forschungsgesellschaft für Straßen- und Verkehrswesen (FGSV), Richtlinien für integrierte Netzgestaltung (RIN),,https://de.wikipedia.org/wiki/Richtlinien_für_integrierte_Netzgestaltung,Independent,,https://de.wikipedia.org/wiki/Forschungsgesellschaft_für_Straßen-_und_Verkehrswesen,Directives for Integrated Network Design
DE,,Handbuch für die Bemessung von Straßenverkehrsanlagen,,,,,,German Equivalent of Highway Capacity Manual
DE,,Straßenverkehrs-Ordnung (StVO),https://www.stvo.de/strassenverkehrsordnung,,,,,Road Traffic Regulations
NL,CROW,Design manual for bicycle traffic,http://www.crow.nl/publicaties/design-manual-for-bicycle-traffic,,Independent,,,
UK,Department for Transport,Design Manual for Roads and Bridges,http://www.standardsforhighways.co.uk/ha/standards/dmrb/index.htm,https://en.wikipedia.org/wiki/Design_Manual_for_Roads_and_Bridges,Government,http://www.standardsforhighways.co.uk/,https://en.wikipedia.org/wiki/Department_for_Transport,
US,American Association of State Highway and Transportation Officials,An Introduction to the Highway Safety Manual,http://www.highwaysafetymanual.org/Documents/HSMP-1.pdf,https://en.wikipedia.org/wiki/Highway_Safety_Manual,Independent,,https://en.wikipedia.org/wiki/American_Association_of_State_Highway_and_Transportation_Officials,
US,American Association of State Highway and Transportation Officials,A Policy on Geometric Design of Highways and Streets,https://bookstore.transportation.org/collection_detail.aspx?ID=110,,Independent,,https://en.wikipedia.org/wiki/American_Association_of_State_Highway_and_Transportation_Officials,
US,American Association of State Highway and Transportation Officials,AASHTO LRFD Bridge Design Specifications,,,Independent,,https://en.wikipedia.org/wiki/American_Association_of_State_Highway_and_Transportation_Officials,
US,American Association of State Highway and Transportation Officials,Guide for the Development of Bicycling Facilities,,,Independent,,https://en.wikipedia.org/wiki/American_Association_of_State_Highway_and_Transportation_Officials,
US,American Association of State Highway and Transportation Officials,Highway Safety Manual,http://www.highwaysafetymanual.org,https://en.wikipedia.org/wiki/Highway_Safety_Manual,Independent,,https://en.wikipedia.org/wiki/American_Association_of_State_Highway_and_Transportation_Officials,
US,American Association of State Highway and Transportation Officials,Manual for Assessing Safety Hardware,,,Independent,,https://en.wikipedia.org/wiki/American_Association_of_State_Highway_and_Transportation_Officials,
US,American Association of State Highway and Transportation Officials,Standard Specifications for Transportation Materials and Methods of Sampling and Testing,,,Independent,,https://en.wikipedia.org/wiki/American_Association_of_State_Highway_and_Transportation_Officials,
US,California Environmental Protection Agency,California Environmental Quality Act,,https://en.wikipedia.org/wiki/California_Environmental_Quality_Act,Government,,https://en.wikipedia.org/wiki/California_Environmental_Protection_Agency,
US,Department of Transportation/Federal Highway Administration,A Guide to Developing Quality Crash Modification Factors,https://safety.fhwa.dot.gov/tools/crf/resources/fhwasa10032/,,Government,,https://en.wikipedia.org/wiki/Federal_Highway_Administration,
US,Department of Transportation/Federal Highway Administration,Manual on Uniform Traffic Control Devices,http://mutcd.fhwa.dot.gov,https://en.wikipedia.org/wiki/Manual_on_Uniform_Traffic_Control_Devices,Government,,https://en.wikipedia.org/wiki/Federal_Highway_Administration,
US,Department of Transportation/Federal Highway Administration,PEDBIKESAFE,http://www.pedbikesafe.org,,Government,,https://en.wikipedia.org/wiki/Federal_Highway_Administration,
US,Department of Transportation/Federal Highway Administration,Separated Bike Lane Planning and Design Guide,https://www.fhwa.dot.gov/environment/bicycle_pedestrian/publications/separated_bikelane_pdg/,,Government,,https://en.wikipedia.org/wiki/Federal_Highway_Administration,
US,Department of Transportation/Federal Highway Administration,Small Town and Rural Multimodal Networks,https://www.fhwa.dot.gov/environment/bicycle_pedestrian/publications/small_towns/ http://ruraldesignguide.com,,Government,,https://en.wikipedia.org/wiki/Federal_Highway_Administration,
US,Department of Transportation/Federal Highway Administration,Traffic Analysis Toolbox Volume III: Guidelines for Applying Traffic Microsimulation Modeling Software,https://ops.fhwa.dot.gov/trafficanalysistools/tat_vol3/vol3_guidelines.pdf,,Government,,https://en.wikipedia.org/wiki/Federal_Highway_Administration,
US,Department of Transportation/Federal Highway Administration,Traffic Signal Timing Manual,https://ops.fhwa.dot.gov/arterial_mgmt/tstmanual.htm,,Government,,https://en.wikipedia.org/wiki/Federal_Highway_Administration,
US,Department of Transportation/National Highway Traffic Safety Administration,Fatality Analysis Reporting System,https://www-fars.nhtsa.dot.gov,https://en.wikipedia.org/wiki/Fatality_Analysis_Reporting_System,Government,,https://en.wikipedia.org/wiki/National_Highway_Traffic_Safety_Administration,
US,Department of Transportation/National Highway Traffic Safety Administration,Federal Motor Vehicle Safety Standards,,https://en.wikipedia.org/wiki/Federal_Motor_Vehicle_Safety_Standards,Government,,https://en.wikipedia.org/wiki/National_Highway_Traffic_Safety_Administration,
US,Department of Transportation/Office of the Assistant Secretary of Research and Technology,National ITS Architecture,https://www.standards.its.dot.gov/LearnAboutStandards/NationalITSArchitecture,,Government,,,
US,Environmental Protection Agency,National Environmental Policy Act,,https://en.wikipedia.org/wiki/National_Environmental_Policy_Act,Government,,https://en.wikipedia.org/wiki/United_States_Environmental_Protection_Agency,
US,Institute of Transportation Engineers,Traffic Control Devices Handbook,https://trid.trb.org/view.aspx?id=1265112,,Independent,http://www.ite.org,https://en.wikipedia.org/wiki/Institute_of_Transportation_Engineers,
US,Institute of Transportation Engineers,Trip Generation Handbook,,,Independent,http://www.ite.org,https://en.wikipedia.org/wiki/Institute_of_Transportation_Engineers,
US,Institute of Transportation Engineers,Trip Generation Manual,,,Independent,http://www.ite.org,https://en.wikipedia.org/wiki/Institute_of_Transportation_Engineers,
US,Massachusetts Department of Transportation,Seperated Bike Lane Planning & Design Guide,https://www.massdot.state.ma.us/highway/DoingBusinessWithUs/ManualsPublicationsForms/SeparatedBikeLanePlanningDesignGuide.aspx,,Government,https://www.massdot.state.ma.us/,,
US,Massachusetts Institute of Technology,MIT OpenCourseWare Transportation Courses,https://ocw.mit.edu/courses/transportation-courses/,,University,https://web.mit.edu,https://en.wikipedia.org/wiki/Massachusetts_Institute_of_Technology,
US,National Association of City Transportation Officials,Global Street Design Guide,,,Independent,http://nacto.org,https://en.wikipedia.org/wiki/National_Association_of_City_Transportation_Officials,
US,National Association of City Transportation Officials,Transit Street Design Guide,http://nacto.org/publication/transit-street-design-guide/,,Independent,http://nacto.org,https://en.wikipedia.org/wiki/National_Association_of_City_Transportation_Officials,
US,National Association of City Transportation Officials,Urban Bikeway Design Guide,http://nacto.org/publication/urban-bikeway-design-guide/,,Independent,http://nacto.org,https://en.wikipedia.org/wiki/National_Association_of_City_Transportation_Officials,
US,National Association of City Transportation Officials,Urban Street Design Guide,http://nacto.org/publication/urban-street-design-guide/,,Independent,http://nacto.org,https://en.wikipedia.org/wiki/National_Association_of_City_Transportation_Officials,
US,Portland State University,Understanding and Communicating Multimodal Transportation Data,http://web.cecs.pdx.edu/~monserec/t.data/,,University,,,
US,Portland State University Transportation Research and Education Center,National Institute for Transportation and Communities,http://nitc.trec.pdx.edu/events/archive,,University,http://nitc.trec.pdx.edu,,
US,Texas A&M Transportation Institute,Texas Trip Generation Manual,http://tti.tamu.edu/documents/0-6760-P1.pdf,,University,,,
US,Transportation Research Board,Highway Capacity Manual,http://www.trb.org/publications/hcm6e.aspx,https://en.wikipedia.org/wiki/Highway_Capacity_Manual,Independent,http://www.trb.org,https://en.wikipedia.org/wiki/Transportation_Research_Board,
US,University of Minnesota Center for Transportation Studies,Journal of Transport and Land Use,https://www.jtlu.org/,https://en.wikipedia.org/wiki/Journal_of_Transport_and_Land_Use,University,,,
US,University of North Carolina Highway Safety Research Center,Crash Modification Factors Clearinghouse,http://www.cmfclearinghouse.org,,University,,,
,Wikibooks,Fundamentals of Transportation,https://en.wikibooks.org/wiki/Fundamentals_of_Transportation,,Independent,,,
